Roi0	Roi1	Roi2	Roi3	Roi4	Roi5	Roi6	Roi7	Roi8	Roi9	Roi10	Roi11	Roi12	Roi13	Roi14	Roi15	Roi16	Roi17	Roi18	Roi19	Roi20	Roi21	Roi22	Roi23	Roi24	Roi25	Roi26	Roi27	Roi28	Roi29	Roi30	Roi31	Roi32	Roi33	Roi34	Roi35	Roi36	Roi37	Roi38	Roi39	Roi40	Roi41	Roi42	Roi43	Roi44	Roi45	Roi46	Roi47	Roi48	Roi49	Roi50	Roi51	Roi52	Roi53	Roi54	Roi55	Roi56	Roi57	Roi58	Roi59	Roi60	Roi61	Roi62	Roi63	Roi64	Roi65	Roi66	Roi67	Roi68	Roi69	Roi70	Roi71	Roi72	Roi73	Roi74	Roi75	Roi76	Roi77	Roi78	Roi79	Roi80	Roi81	Roi82	Roi83	Roi84	Roi85	Roi86	Roi87	Roi88	Roi89	Roi90	Roi91	Roi92	Roi93	Roi94	Roi95	Roi96	Roi97	Roi98	Roi99	Roi100	Roi101	Roi102	Roi103	Roi104	Roi105	Roi106	Roi107	Roi108	Roi109	Roi110	
0.004	0.002	0.054	0.041	0.005	0.006	0.006	0.006	0.004	0.004	0.001	0.004	0.012	0.005	0.002	0.007	0.007	0.011	0.006	0.002	0.004	0.006	0.006	0.003	0.005	0.015	0.003	0.010	0.003	0.007	0.008	0.005	0.008	0.008	0.011	0.019	0.009	0.004	0.006	0.006	0.008	0.009	0.002	0.004	0.005	0.005	0.006	0.003	0.004	0.008	0.005	0.008	0.004	0.003	0.002	0.006	0.005	0.032	0.005	0.002	0.008	0.003	0.006	0.006	0.011	0.004	0.011	0.004	0.007	0.005	0.004	0.009	0.004	0.006	0.011	0.006	0.003	0.013	0.003	0.004	0.009	0.005	0.012	0.012	0.001	0.018	0.003	0.014	0.001	0.008	0.006	0.003	0.002	0.019	0.008	0.006	0.001	0.002	0.005	0.006	0.003	0.007	0.011	0.008	0.009	0.004	0.006	0.004	0.005	0.006	0.005
0.008	0.004	0.049	0.038	0.005	0.008	0.011	0.010	0.007	0.009	0.001	0.002	0.013	0.005	0.005	0.009	0.004	0.011	0.005	0.005	0.004	0.007	0.006	0.003	0.002	0.013	0.001	0.011	0.003	0.006	0.008	0.006	0.008	0.009	0.008	0.019	0.010	0.003	0.004	0.004	0.008	0.007	0.003	0.003	0.007	0.002	0.006	0.003	0.006	0.010	0.007	0.011	0.007	0.003	0.003	0.007	0.005	0.033	0.002	0.002	0.008	0.003	0.004	0.005	0.008	0.002	0.013	0.003	0.005	0.007	0.005	0.006	0.007	0.007	0.011	0.000	0.003	0.015	0.003	0.003	0.008	0.003	0.011	0.011	0.001	0.021	0.002	0.014	0.003	0.008	0.004	0.002	0.003	0.020	0.011	0.002	0.001	0.000	0.002	0.007	0.003	0.009	0.010	0.005	0.007	0.005	0.008	0.003	0.006	0.005	0.007
0.009	0.005	0.044	0.035	0.002	0.006	0.006	0.006	0.001	0.007	0.004	0.005	0.010	0.005	0.002	0.008	0.005	0.011	0.004	0.006	0.004	0.004	0.005	0.003	0.002	0.013	0.003	0.012	0.003	0.007	0.009	0.004	0.011	0.009	0.009	0.019	0.007	0.003	0.005	0.005	0.008	0.009	0.001	0.003	0.005	0.003	0.006	0.006	0.003	0.008	0.007	0.008	0.006	0.002	0.003	0.004	0.005	0.033	0.004	0.001	0.006	0.005	0.008	0.005	0.008	0.004	0.009	0.002	0.003	0.007	0.004	0.007	0.004	0.005	0.011	-0.000	0.002	0.018	0.004	0.003	0.009	0.005	0.010	0.011	0.001	0.017	0.002	0.013	0.002	0.005	0.005	0.003	0.002	0.017	0.006	0.004	0.002	0.002	0.004	0.007	0.004	0.008	0.008	0.005	0.009	0.002	0.011	0.004	0.007	0.005	0.006
0.007	0.004	0.047	0.034	0.004	0.008	0.007	0.007	0.003	0.007	0.002	0.004	0.009	0.003	0.006	0.008	0.005	0.011	0.004	0.002	0.004	0.004	0.004	0.002	0.005	0.012	0.002	0.013	0.003	0.006	0.010	0.005	0.008	0.007	0.006	0.017	0.009	0.002	0.003	0.007	0.006	0.006	0.002	0.002	0.008	0.003	0.006	0.004	0.005	0.009	0.005	0.008	0.003	0.003	0.002	0.004	0.005	0.029	0.005	0.003	0.008	0.004	0.007	0.004	0.010	0.002	0.011	0.003	0.004	0.004	0.004	0.008	0.003	0.007	0.011	0.000	0.002	0.017	0.003	0.003	0.007	0.004	0.011	0.010	0.002	0.015	0.002	0.013	0.003	0.007	0.002	0.003	0.003	0.017	0.009	0.003	0.001	0.001	0.003	0.005	0.002	0.006	0.009	0.008	0.008	0.004	0.006	0.003	0.006	0.005	0.005
0.005	0.001	0.044	0.035	0.005	0.002	0.005	0.004	0.004	0.003	0.004	0.004	0.004	0.004	0.003	0.009	0.006	0.014	0.004	-0.000	0.003	0.007	0.004	0.004	0.002	0.014	0.003	0.013	0.003	0.006	0.009	0.003	0.011	0.007	0.008	0.015	0.010	0.003	0.005	0.007	0.006	0.005	0.003	0.005	0.005	0.001	0.007	0.004	0.004	0.009	0.006	0.008	0.006	0.002	0.002	0.006	0.004	0.031	0.006	0.002	0.006	0.002	0.010	0.007	0.010	0.004	0.004	0.003	0.004	0.007	0.004	0.008	0.003	0.005	0.011	0.004	0.005	0.019	0.006	0.002	0.007	0.005	0.010	0.012	0.001	0.017	0.001	0.012	0.001	0.007	0.004	0.001	0.003	0.017	0.007	0.005	0.001	0.002	0.002	0.009	0.002	0.006	0.013	0.010	0.007	0.007	0.010	0.003	0.007	0.007	0.006
0.007	0.005	0.046	0.030	0.007	0.009	0.012	0.008	0.005	0.010	0.004	0.007	0.012	0.007	0.003	0.010	0.006	0.014	0.006	0.003	0.002	0.003	0.002	0.003	0.007	0.015	0.000	0.014	-0.000	0.004	0.008	0.001	0.006	0.009	0.015	0.017	0.007	0.004	0.003	0.004	0.007	0.010	0.006	0.003	0.003	0.001	0.006	0.003	0.002	0.010	0.004	0.007	0.004	0.003	0.002	0.006	0.004	0.030	0.003	0.003	0.008	0.003	0.004	0.005	0.009	0.004	0.014	0.002	0.008	0.005	0.001	0.006	0.003	0.006	0.010	0.006	0.003	0.020	0.003	0.004	0.007	0.004	0.010	0.010	0.001	0.018	0.001	0.014	0.006	0.008	0.002	0.003	0.002	0.017	0.010	0.003	0.002	0.002	0.004	0.003	0.003	0.007	0.009	0.011	0.007	0.003	0.007	0.004	0.006	0.006	0.005
0.007	0.002	0.046	0.036	0.005	0.006	0.004	0.006	0.005	0.006	0.004	0.004	0.007	0.004	0.005	0.008	0.006	0.013	0.004	0.005	0.002	0.006	0.005	0.003	0.004	0.013	0.002	0.013	0.005	0.005	0.010	0.005	0.009	0.007	0.009	0.016	0.009	0.004	0.002	0.006	0.007	0.006	0.003	0.002	0.004	0.004	0.007	0.003	0.006	0.009	0.006	0.010	0.007	0.002	0.001	0.005	0.003	0.028	0.003	0.003	0.005	0.004	0.008	0.005	0.007	-0.001	0.006	0.003	0.004	0.007	0.000	0.007	0.003	0.004	0.010	0.002	0.003	0.018	0.003	-0.000	0.008	0.004	0.009	0.010	0.001	0.012	0.001	0.013	0.003	0.005	0.004	0.004	0.002	0.017	0.009	0.003	0.003	0.001	0.005	0.006	0.003	0.006	0.013	0.009	0.006	0.004	0.010	0.003	0.006	0.007	0.007
0.009	0.003	0.042	0.031	0.005	0.007	0.009	0.005	0.006	0.007	0.002	0.005	0.009	0.006	0.004	0.012	0.006	0.012	0.002	0.005	0.002	0.003	0.003	0.005	0.006	0.013	0.001	0.013	0.001	0.004	0.008	0.003	0.008	0.009	0.011	0.018	0.008	0.003	0.003	0.006	0.005	0.007	0.001	0.003	0.004	0.001	0.006	0.001	0.005	0.008	0.005	0.008	0.003	0.002	0.001	0.008	0.003	0.026	0.004	0.002	0.009	0.005	0.006	0.004	0.009	0.003	0.007	0.002	0.005	0.005	0.005	0.005	0.006	0.005	0.010	0.002	0.004	0.019	0.004	0.000	0.009	0.005	0.011	0.011	0.001	0.016	0.001	0.014	0.002	0.006	0.000	0.002	0.003	0.021	0.008	0.002	-0.000	0.001	0.003	0.004	0.003	0.006	0.008	0.004	0.008	0.003	0.006	0.003	0.007	0.005	0.008
0.007	0.002	0.046	0.032	0.002	0.007	0.002	0.005	0.000	0.005	0.004	0.001	0.004	0.007	0.008	0.010	0.006	0.010	0.004	0.003	0.003	0.002	0.003	0.005	0.004	0.012	0.001	0.016	0.005	0.005	0.006	0.004	0.009	0.006	0.012	0.014	0.008	0.001	0.003	0.004	0.006	0.004	0.002	0.002	0.004	0.002	0.005	0.004	0.005	0.009	0.006	0.007	0.004	0.002	0.001	0.008	0.005	0.029	0.001	0.003	0.005	0.003	0.007	0.004	0.008	0.003	0.006	0.000	0.008	0.006	0.003	0.010	0.002	0.005	0.009	0.001	0.001	0.019	0.003	0.003	0.008	0.006	0.010	0.011	0.001	0.012	0.001	0.014	0.004	0.007	0.001	0.000	0.003	0.012	0.006	0.003	0.001	0.000	0.005	0.005	0.001	0.005	0.007	0.008	0.006	0.005	0.008	0.003	0.007	0.007	0.006
0.010	-0.000	0.044	0.028	0.005	0.010	0.006	0.006	0.003	0.007	0.002	0.002	0.008	0.009	0.006	0.011	0.007	0.013	0.004	0.008	0.003	0.004	0.003	0.002	0.007	0.013	0.001	0.015	0.004	0.005	0.007	0.004	0.007	0.009	0.016	0.013	0.009	0.005	0.003	0.004	0.006	0.006	0.004	0.002	0.004	0.002	0.006	0.004	0.004	0.008	0.005	0.007	0.004	0.002	0.001	0.007	0.004	0.029	0.004	0.002	0.008	0.005	0.009	0.005	0.007	0.004	0.007	0.003	0.006	0.007	0.003	0.010	0.004	0.006	0.008	0.003	0.002	0.021	0.002	0.002	0.007	0.003	0.009	0.011	0.001	0.014	0.002	0.013	0.003	0.006	0.003	0.003	0.003	0.017	0.007	0.005	0.002	0.001	0.003	0.006	0.003	0.007	0.009	0.007	0.007	0.004	0.006	0.003	0.006	0.004	0.007
0.009	0.001	0.042	0.028	0.002	0.009	0.004	0.009	0.006	0.007	0.005	0.001	0.008	0.008	0.008	0.010	0.007	0.013	0.002	0.005	0.003	0.005	0.003	0.004	0.008	0.014	0.002	0.015	0.004	0.009	0.008	0.003	0.009	0.008	0.013	0.013	0.009	0.003	0.004	0.006	0.007	0.009	0.003	0.003	0.006	0.000	0.005	0.003	0.004	0.008	0.007	0.005	0.003	0.002	0.002	0.007	0.004	0.031	0.006	0.002	0.006	0.003	0.010	0.004	0.008	0.005	0.009	0.003	0.006	0.006	0.002	0.007	0.004	0.005	0.010	0.002	0.002	0.019	0.004	0.003	0.008	0.003	0.008	0.012	0.001	0.012	0.002	0.014	0.005	0.006	0.003	0.004	0.001	0.015	0.007	0.003	0.001	0.002	0.005	0.006	0.002	0.007	0.010	0.010	0.004	0.002	0.010	0.002	0.005	0.006	0.009
0.009	0.003	0.045	0.025	0.006	0.011	0.004	0.008	0.003	0.007	0.006	0.005	0.011	0.008	0.008	0.012	0.008	0.015	0.005	0.007	0.003	0.005	0.002	0.002	0.009	0.014	0.002	0.016	0.004	0.006	0.007	0.004	0.009	0.008	0.012	0.014	0.007	0.002	0.004	0.006	0.006	0.007	0.003	0.005	0.005	0.002	0.006	0.006	0.004	0.008	0.006	0.007	0.005	0.002	0.002	0.007	0.003	0.031	0.001	0.002	0.005	0.004	0.009	0.005	0.008	0.007	0.007	0.003	0.007	0.004	0.004	0.006	0.005	0.003	0.010	0.002	0.003	0.018	0.004	0.001	0.008	0.005	0.010	0.011	0.001	0.012	0.002	0.012	0.005	0.009	0.002	0.003	0.005	0.015	0.006	0.006	0.001	0.002	0.005	0.005	-0.000	0.006	0.012	0.007	0.007	0.004	0.007	0.003	0.006	0.006	0.010
0.007	0.003	0.039	0.022	0.005	0.009	0.007	0.005	0.005	0.007	0.005	0.004	0.006	0.008	0.006	0.012	0.007	0.013	0.005	0.005	0.003	0.002	0.002	0.004	0.008	0.014	0.003	0.016	0.005	0.005	0.008	0.002	0.011	0.008	0.012	0.014	0.008	0.002	0.004	0.004	0.008	0.004	0.003	0.004	0.005	0.004	0.007	0.002	0.003	0.009	0.007	0.008	0.004	0.004	0.001	0.007	0.004	0.028	0.005	0.002	0.005	0.003	0.008	0.008	0.006	0.004	0.007	0.005	0.004	0.005	0.002	0.006	0.007	0.003	0.009	0.004	0.003	0.019	0.003	0.002	0.006	0.005	0.009	0.011	0.000	0.010	0.000	0.012	0.003	0.005	0.003	0.003	0.002	0.015	0.006	0.004	0.001	0.003	0.003	0.004	0.002	0.005	0.008	0.010	0.006	0.004	0.007	0.005	0.005	0.009	0.008
0.009	0.005	0.038	0.023	0.007	0.010	0.006	0.011	0.004	0.010	0.005	0.006	0.011	0.008	0.008	0.012	0.004	0.012	0.006	0.003	0.002	0.006	0.003	0.004	0.010	0.012	0.003	0.016	0.003	0.004	0.008	0.004	0.009	0.008	0.014	0.011	0.007	0.006	0.003	0.003	0.008	0.009	0.003	0.005	0.005	0.004	0.006	0.009	0.006	0.008	0.006	0.010	0.004	0.002	0.001	0.004	0.006	0.027	0.005	0.002	0.006	0.004	0.010	0.005	0.007	0.010	0.006	0.002	0.004	0.006	0.004	0.008	0.004	0.006	0.009	0.008	0.003	0.018	0.005	0.002	0.006	0.002	0.010	0.013	0.001	0.011	0.001	0.011	0.004	0.006	0.003	0.002	0.004	0.014	0.006	0.004	0.002	0.001	0.003	0.003	0.001	0.007	0.011	0.009	0.006	0.004	0.009	0.003	0.006	0.006	0.008
0.005	0.003	0.029	0.024	0.006	0.006	0.002	0.007	0.001	0.006	0.006	0.005	0.008	0.010	0.011	0.011	0.006	0.010	0.004	0.005	0.002	0.005	0.004	0.003	0.006	0.013	0.001	0.016	0.004	0.006	0.008	0.004	0.012	0.007	0.012	0.013	0.008	0.003	0.003	0.005	0.007	0.008	0.003	0.003	0.005	0.005	0.007	0.007	0.004	0.009	0.006	0.006	0.006	0.002	0.001	0.007	0.001	0.029	0.006	0.000	0.002	0.003	0.012	0.005	0.009	0.003	0.006	0.003	0.004	0.005	0.004	0.004	0.003	0.003	0.006	0.007	0.002	0.016	0.004	0.004	0.007	0.005	0.007	0.014	0.003	0.010	0.002	0.010	0.003	0.004	0.003	0.003	0.002	0.011	0.003	0.005	0.003	0.002	0.004	0.005	0.001	0.006	0.011	0.008	0.005	0.003	0.008	0.003	0.005	0.009	0.009
0.009	0.000	0.034	0.021	0.010	0.011	0.007	0.008	0.003	0.008	0.005	0.003	0.009	0.009	0.007	0.013	0.007	0.010	0.005	0.005	0.004	0.008	0.002	0.004	0.008	0.012	0.003	0.015	0.006	0.005	0.010	0.005	0.011	0.010	0.016	0.010	0.008	0.006	0.004	0.005	0.008	0.008	0.003	0.005	0.004	0.003	0.008	0.009	0.004	0.008	0.005	0.010	0.006	0.002	0.002	0.007	0.004	0.026	0.006	0.001	0.006	0.008	0.008	0.004	0.010	0.004	0.011	0.003	0.003	0.005	0.004	0.005	0.006	0.006	0.008	0.007	0.003	0.019	0.001	0.002	0.007	0.005	0.010	0.013	0.002	0.011	0.001	0.010	0.003	0.005	0.004	0.002	0.004	0.016	0.005	0.003	0.001	0.001	0.003	0.006	0.002	0.007	0.008	0.007	0.004	0.004	0.010	0.002	0.007	0.007	0.009
0.006	0.005	0.033	0.023	0.004	0.006	0.006	0.007	0.005	0.006	0.004	0.005	0.009	0.005	0.010	0.012	0.008	0.014	0.007	0.004	0.004	0.007	0.004	0.005	0.005	0.014	0.002	0.015	0.005	0.010	0.010	0.007	0.011	0.007	0.011	0.014	0.006	0.003	0.008	0.007	0.009	0.006	0.003	0.005	0.005	0.003	0.006	0.007	0.004	0.009	0.007	0.008	0.004	0.002	0.001	0.011	0.004	0.030	0.006	0.003	0.005	0.005	0.011	0.005	0.008	0.008	0.005	0.002	0.004	0.005	0.003	0.008	0.005	0.004	0.009	0.005	0.002	0.021	0.006	0.007	0.007	0.005	0.010	0.012	0.001	0.013	0.001	0.012	0.004	0.005	0.004	0.001	0.003	0.014	0.005	0.007	0.001	0.002	0.006	0.007	0.002	0.005	0.010	0.008	0.007	0.006	0.010	0.003	0.007	0.007	0.008
0.007	0.006	0.033	0.020	0.004	0.011	0.005	0.007	0.002	0.008	0.005	0.004	0.010	0.009	0.008	0.012	0.005	0.011	0.006	0.007	0.004	0.006	0.002	0.003	0.006	0.013	0.003	0.014	0.004	0.008	0.010	0.006	0.011	0.006	0.012	0.011	0.007	0.005	0.006	0.007	0.007	0.007	0.004	0.008	0.004	0.006	0.007	0.005	0.004	0.008	0.006	0.006	0.005	0.001	0.002	0.008	0.005	0.028	0.003	0.002	0.008	0.007	0.007	0.003	0.009	0.004	0.008	0.003	0.005	0.006	0.004	0.006	0.004	0.003	0.008	0.003	0.003	0.019	0.005	0.002	0.007	0.005	0.010	0.013	0.002	0.013	0.002	0.012	0.003	0.006	0.006	0.001	0.001	0.016	0.007	0.004	0.003	0.001	0.007	0.006	0.002	0.006	0.010	0.010	0.005	0.004	0.012	0.002	0.006	0.007	0.008
0.007	0.002	0.033	0.022	0.004	0.007	0.005	0.008	0.004	0.005	0.001	0.003	0.012	0.006	0.008	0.011	0.008	0.014	0.005	0.004	0.002	0.005	0.006	0.005	0.006	0.013	0.001	0.013	0.001	0.009	0.008	0.006	0.009	0.009	0.011	0.015	0.006	0.004	0.007	0.007	0.006	0.010	0.001	0.003	0.005	0.005	0.006	0.008	0.005	0.008	0.008	0.009	0.004	0.000	0.002	0.010	0.007	0.029	0.005	0.002	0.007	0.004	0.007	0.006	0.007	0.000	0.006	0.002	0.002	0.005	0.004	0.006	0.007	0.003	0.008	0.001	0.001	0.019	0.003	0.007	0.007	0.005	0.011	0.012	0.001	0.009	0.002	0.011	0.002	0.005	0.003	0.002	0.004	0.012	0.007	0.006	0.003	0.002	0.002	0.010	0.002	0.005	0.007	0.008	0.005	0.002	0.012	0.003	0.007	0.007	0.008
